Category,Model,Year of Introduction
Hatchback,Tata Tiago,2016.0
Hatchback,Tata Altroz,2020.0
Sedan,Tata Tigor,2016.0
SUV/Crossover,Tata Punch,2021.0
SUV/Crossover,Tata Nexon,2017.0
SUV/Crossover,Tata Curvv,2024.0
SUV/Crossover,Tata Harrier,2018.0
SUV/Crossover,Tata Safari,2021.0
Electric,Tata Nexon EV,2020.0
Electric,Tata Tigor EV,2021.0
Electric,Tata Tiago EV,2022.0
Electric,Tata Punch EV,2024.0
Electric,Tata Curvv EV,2024.0
Commercial,Tata Ace,
Commercial,Tata Ace Zip,
Commercial,Tata Ace EV,
Commercial,Tata Super Ace,
Commercial,Tata Ace Mega,
Commercial,Tata Intra,
Commercial,Tata Intra V10,
Commercial,Tata Intra V20,
Commercial,Tata Intra V30,
Commercial,Tata Intra V50,
Commercial,Tata Xenon XT,
Commercial,Tata Yodha,
Commercial,Tata Iris,
Commercial,Tata TL/Telcoline/207 Pick-up truck,
Commercial,Tata 407 Ex and Ex2,
Commercial,Tata 709 Ex,
Commercial,Tata 807,
Commercial,Tata 809 Ex and Ex2,
Commercial,Tata 909 Ex and Ex2,
Commercial,Tata 1210 SE and SFC,
Commercial,Tata 1210 LP,
Commercial,Tata 1109,
Commercial,Tata 1512c,
Commercial,Tata 1515c/1615,
Commercial,Tata 1612c/1616c/1618c,
Commercial,Tata 1618,
Commercial,Tata 1623,
Commercial,Tata 1518C,
Commercial,Tata 1613/1615c,
Commercial,Tata 1616/1618c,
Commercial,Tata 2515c/2516c/2518c,
Commercial,Tata Starbus,
Commercial,Tata Divo,
Commercial,Tata CityRide,
Commercial,Tata 3015,
Commercial,Tata 3118,
Commercial,Tata 3516,
Commercial,Tata 4018,
Commercial,Tata 4923,
Commercial,Tata Novus,
Commercial,Tata Prima,
Commercial,Tata SIGNA series,
Commercial,Tata Ultra series,
Commercial,Tata Winger,
Electric Concept,Tata Avinya,
Electric Concept,Tata EVision,
Electric Concept,Harrier.ev,
Electric Concept,Sierra.ev,
Discontinued,Tata Telcoline,1988.0
Discontinued,Tata Sierra,1991.0
Discontinued,Tata Estate,1992.0
Discontinued,Tata Sumo,1994.0
Discontinued,Tata Indica,1998.0
Discontinued,Tata Spacio,2000.0
Discontinued,Tata Indigo,2002.0
Discontinued,Tata Indigo Marina,2006.0
Discontinued,Tata Xenon,2007.0
Discontinued,Tata Sumo Grande,2008.0
Discontinued,Tata Vista,2008.0
Discontinued,Tata Nano,2008.0
Discontinued,Tata Manza,2011.0
Discontinued,Tata Venture,2010.0
Discontinued,Tata Aria,2010.0
Discontinued,Tata Zest,2014.0
Discontinued,Tata Bolt,2014.0
Discontinued,Tata Hexa,2017.0
